

NodeId	GNBDUFunctionId	NRCellDUId	nRPCI
kn-geoje-gohyeon-10-05	1	1	471
kn-geoje-gohyeon-10-05	1	2	791
kn-geoje-gohyeon-10-05	1	3	466
kn-geoje-gohyeon-10-02	1	1	595
kn-geoje-gohyeon-10-02	1	2	360
kn-geoje-gohyeon-10-02	1	3	529
bs-sasang-jurye-10-01	1	1	24
bs-sasang-jurye-10-01	1	2	594
bs-sasang-jurye-10-01	1	3	462
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_00	367
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_01	194
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_02	106
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_03	554
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_04	345
kn-jinju-hadae-GX01	1	kn-jinju-hadae-GX01_05	89
bs-sasang-jurye-10-02	1	1	578
bs-sasang-jurye-10-02	1	2	309
bs-sasang-jurye-10-02	1	3	161
bs-sasang-jurye-10-07	1	1	183
bs-sasang-jurye-10-07	1	2	52
bs-sasang-jurye-10-07	1	3	393
bs-sasang-jurye-10-05	1	1	558
bs-sasang-jurye-10-05	1	2	359
bs-sasang-jurye-10-05	1	3	196
bs-sasang-jurye-10-06	1	1	301
bs-sasang-jurye-10-06	1	2	173
bs-sasang-jurye-10-06	1	3	368
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_01	1
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_05	685
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_03	564
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_04	152
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_02	2
kn-happo-wolyeong-10-08	1	kn-happo-wolyeong-10-08_00	87
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_00	483
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_01	330
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_02	812
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_03	799
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_04	45
kn-jinju-hadae-GX14	1	kn-jinju-hadae-GX14_05	0
kn-jinju-hadae-GX15	1	kn-jinju-hadae-GX15_01	39
kn-jinju-hadae-GX15	1	kn-jinju-hadae-GX15_00	432
kn-jinju-hadae-GX15	1	kn-jinju-hadae-GX15_02	2
bs-sasang-jurye-10-12	1	1	66
bs-sasang-jurye-10-12	1	2	755
bs-sasang-jurye-10-12	1	3	523
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_00	75
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_01	23
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_02	34
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_03	77
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_04	546
kn-jinju-chungmugong-GX10	1	kn-jinju-chungmugong-GX10_05	840
kn-jinju-chungmugong-GX12	1	kn-jinju-chungmugong-GX12_02	1
kn-jinju-chungmugong-GX12	1	kn-jinju-chungmugong-GX12_01	0
kn-jinju-chungmugong-GX12	1	kn-jinju-chungmugong-GX12_00	20
kn-geoje-gohyeon-10-01	1	1	369
kn-geoje-gohyeon-10-01	1	2	755
kn-geoje-gohyeon-10-01	1	3	589
kn-geoje-gohyeon-10-04	1	1	438
kn-geoje-gohyeon-10-04	1	2	761
kn-geoje-gohyeon-10-04	1	3	526
kn-geoje-gohyeon-10-03	1	1	294
kn-geoje-gohyeon-10-03	1	2	366
kn-geoje-gohyeon-10-03	1	3	143
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_00	142
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_01	145
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_02	341
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_03	826
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_04	279
kn-geoje-gohyeon-10-08	1	kn-geoje-gohyeon-10-08_05	827
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_02	426
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_05	39
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_03	138
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_00	242
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_04	586
kn-geoje-gohyeon-10-09	1	kn-geoje-gohyeon-10-09_01	35
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_01	547
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_02	0
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_05	3
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_04	2
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_03	1
us-bukgu-sanha-GX11	1	us-bukgu-sanha-GX11_00	494
kn-geoje-gohyeon-10-06	1	1	576
kn-geoje-gohyeon-10-06	1	2	584
kn-geoje-gohyeon-10-06	1	3	451
kn-geoje-gohyeon-10-07	1	1	480
kn-geoje-gohyeon-10-07	1	2	749
kn-geoje-gohyeon-10-07	1	3	0
ktx-ulju-hwalcheon-GX05	1	ktx-ulju-hwalcheon-GX05_00	608
ktx-ulju-hwalcheon-GX05	1	ktx-ulju-hwalcheon-GX05_01	610
ktx-ulju-hwalcheon-GX05	1	ktx-ulju-hwalcheon-GX05_02	592
ktx-ulju-hwalcheon-GX06	1	ktx-ulju-hwalcheon-GX06_00	619
ktx-ulju-hwalcheon-GX06	1	ktx-ulju-hwalcheon-GX06_01	604
ktx-ulju-hwalcheon-GX06	1	ktx-ulju-hwalcheon-GX06_02	609
ktx-ulju-hwalcheon-GX03	1	ktx-ulju-hwalcheon-GX03_00	588
ktx-ulju-hwalcheon-GX03	1	ktx-ulju-hwalcheon-GX03_01	388
ktx-ulju-hwalcheon-GX03	1	ktx-ulju-hwalcheon-GX03_02	590
ktx-ulju-hwalcheon-GX04	1	ktx-ulju-hwalcheon-GX04_00	601
ktx-ulju-hwalcheon-GX04	1	ktx-ulju-hwalcheon-GX04_01	597
ktx-ulju-hwalcheon-GX04	1	ktx-ulju-hwalcheon-GX04_02	603
ktx-ulju-hwalcheon-GX09	1	ktx-ulju-hwalcheon-GX09_00	845
ktx-ulju-hwalcheon-GX09	1	ktx-ulju-hwalcheon-GX09_01	111
ktx-ulju-hwalcheon-GX09	1	ktx-ulju-hwalcheon-GX09_02	0
ktx-ulju-hwalcheon-GX07	1	ktx-ulju-hwalcheon-GX07_00	623
ktx-ulju-hwalcheon-GX07	1	ktx-ulju-hwalcheon-GX07_01	486
ktx-ulju-hwalcheon-GX07	1	ktx-ulju-hwalcheon-GX07_02	630
ktx-ulju-hwalcheon-GX08	1	ktx-ulju-hwalcheon-GX08_00	205
ktx-ulju-hwalcheon-GX08	1	ktx-ulju-hwalcheon-GX08_01	640
ktx-ulju-hwalcheon-GX08	1	ktx-ulju-hwalcheon-GX08_02	476
ktx-ulju-hwalcheon-GX01	1	ktx-ulju-hwalcheon-GX01_00	589
ktx-ulju-hwalcheon-GX01	1	ktx-ulju-hwalcheon-GX01_01	458
ktx-ulju-hwalcheon-GX01	1	ktx-ulju-hwalcheon-GX01_02	582
ktx-ulju-hwalcheon-GX02	1	ktx-ulju-hwalcheon-GX02_00	413
ktx-ulju-hwalcheon-GX02	1	ktx-ulju-hwalcheon-GX02_01	327
ktx-ulju-hwalcheon-GX02	1	ktx-ulju-hwalcheon-GX02_02	463
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_03	267
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_01	609
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_05	278
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_08	8
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_07	7
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_00	206
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_02	760
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_04	80
us-bukgu-sanha-GX02	1	us-bukgu-sanha-GX02_06	6
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_02	2
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_04	145
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_00	21
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_05	443
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_03	109
kn-happo-wolyeong-10-06	1	kn-happo-wolyeong-10-06_01	206
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_00	301
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_03	679
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_02	508
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_04	420
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_05	111
kn-happo-wolyeong-10-05	1	kn-happo-wolyeong-10-05_01	626
kn-happo-wolyeong-10-04	1	1	672
kn-happo-wolyeong-10-04	1	2	612
kn-happo-wolyeong-10-04	1	3	171
kn-happo-wolyeong-10-03	1	1	628
kn-happo-wolyeong-10-03	1	2	728
kn-happo-wolyeong-10-03	1	3	666
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_03	0
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_04	1
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_01	491
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_05	2
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_07	7
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_02	84
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_00	454
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_08	8
us-bukgu-sanha-GX06	1	us-bukgu-sanha-GX06_06	6
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_00	224
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_02	474
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_04	627
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_05	13
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_03	442
kn-happo-wolyeong-10-02	1	kn-happo-wolyeong-10-02_01	18
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_05	58
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_03	115
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_00	306
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_04	681
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_01	521
kn-happo-wolyeong-10-01	1	kn-happo-wolyeong-10-01_02	596
bs-sasang-jurye-10-03	1	1	350
bs-sasang-jurye-10-03	1	2	591
bs-sasang-jurye-10-03	1	3	19
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_00	336
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_01	397
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_02	339
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_03	310
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_04	20
kn-jinju-hadae-GX03	1	kn-jinju-hadae-GX03_05	426
bs-sasang-jurye-10-04	1	1	774
bs-sasang-jurye-10-04	1	2	541
bs-sasang-jurye-10-04	1	3	237
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_00	784
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_01	31
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_02	59
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_03	128
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_04	741
kn-jinju-hadae-GX04	1	kn-jinju-hadae-GX04_05	299
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_00	351
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_01	113
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_02	119
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_03	202
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_04	102
kn-jinju-hadae-GX02	1	kn-jinju-hadae-GX02_05	125
bs-sasang-jurye-10-08	1	1	417
bs-sasang-jurye-10-08	1	2	207
bs-sasang-jurye-10-08	1	3	238
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_02	108
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_05	212
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_00	290
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_03	540
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_01	484
kn-happo-wolyeong-10-07	1	kn-happo-wolyeong-10-07_04	718
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_05	277
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_02	287
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_04	32
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_00	183
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_03	815
kn-jinhae-taebaek-10-02	1	kn-jinhae-taebaek-10-02_01	592
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_02	31
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_00	139
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_04	825
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_01	560
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_03	574
kn-jinhae-taebaek-10-01	1	kn-jinhae-taebaek-10-01_05	587
bs-sasang-jurye-10-09	1	1	583
bs-sasang-jurye-10-09	1	2	250
bs-sasang-jurye-10-09	1	3	266
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_04	707
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_03	44
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_02	282
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_00	314
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_05	289
kn-geoje-gohyeon-10-11	1	kn-geoje-gohyeon-10-11_01	379
bs-sasang-jurye-10-14	1	1	434
bs-sasang-jurye-10-14	1	2	362
bs-sasang-jurye-10-14	1	3	75
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_05	378
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_03	20
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_00	661
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_01	795
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_02	192
kn-geoje-gohyeon-10-12	1	kn-geoje-gohyeon-10-12_04	16
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_00	42
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_01	574
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_02	2
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_03	674
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_04	715
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_05	654
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_08	8
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_07	7
bs-sasang-jurye-10-15	1	bs-sasang-jurye-10-15_06	6
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_00	17
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_01	505
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_02	544
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_03	292
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_04	26
kn-jinju-chungmugong-GX08	1	kn-jinju-chungmugong-GX08_05	35
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_00	153
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_01	578
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_02	839
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_03	401
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_04	317
kn-jinju-hadae-GX12	1	kn-jinju-hadae-GX12_05	320
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_00	655
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_01	239
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_02	769
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_03	662
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_04	19
kn-jinju-chungmugong-GX09	1	kn-jinju-chungmugong-GX09_05	24
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_04	748
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_01	523
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_03	47
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_05	249
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_00	533
kn-geoje-gohyeon-10-10	1	kn-geoje-gohyeon-10-10_02	92
bs-sasang-jurye-10-13	1	1	397
bs-sasang-jurye-10-13	1	2	648
bs-sasang-jurye-10-13	1	3	568
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_00	322
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_01	324
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_02	326
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_03	165
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_04	329
kn-jinju-hadae-GX13	1	kn-jinju-hadae-GX13_05	70
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_00	313
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_01	825
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_02	166
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_03	407
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_04	704
kn-jinju-hadae-GX10	1	kn-jinju-hadae-GX10_05	138
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_00	322
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_05	290
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_03	693
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_04	823
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_02	306
kn-geoje-gohyeon-10-15	1	kn-geoje-gohyeon-10-15_01	72
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_00	315
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_01	145
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_02	91
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_03	124
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_04	648
kn-jinju-hadae-GX11	1	kn-jinju-hadae-GX11_05	151
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_05	593
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_03	556
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_04	63
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_02	208
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_00	587
kn-geoje-gohyeon-10-16	1	kn-geoje-gohyeon-10-16_01	176
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_04	502
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_05	609
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_02	367
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_03	372
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_01	50
kn-geoje-gohyeon-10-13	1	kn-geoje-gohyeon-10-13_00	161
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_00	507
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_01	216
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_03	678
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_02	355
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_04	512
kn-geoje-gohyeon-10-14	1	kn-geoje-gohyeon-10-14_05	307
