

NodeId	GNBCUCPFunctionId	gNBId
kn-geoje-gohyeon-10-02	1	1180517
kn-geoje-gohyeon-10-09	1	1180957
us-bukgu-sanha-GX11	1	1183311
kn-geoje-gohyeon-10-06	1	1180521
ktx-ulju-hwalcheon-GX07	1	1182003
bs-sasang-jurye-10-03	1	1179762
kn-jinju-hadae-GX03	1	1181543
bs-sasang-jurye-10-04	1	1179763
kn-jinju-hadae-GX04	1	1181544
bs-sasang-jurye-10-01	1	1179760
kn-jinju-hadae-GX01	1	1181541
bs-sasang-jurye-10-02	1	1179761
kn-jinju-hadae-GX02	1	1181542
bs-sasang-jurye-10-07	1	1179766
bs-sasang-jurye-10-08	1	1179767
bs-sasang-jurye-10-05	1	1179764
bs-sasang-jurye-10-06	1	1179765
kn-happo-wolyeong-10-08	1	1179690
kn-happo-wolyeong-10-07	1	1180618
kn-jinhae-taebaek-10-02	1	1180589
kn-jinhae-taebaek-10-01	1	1180588
bs-sasang-jurye-10-09	1	1179768
bs-sasang-jurye-10-14	1	1179773
kn-geoje-gohyeon-10-11	1	1180959
kn-jinju-hadae-GX14	1	1181985
bs-sasang-jurye-10-15	1	1179774
kn-geoje-gohyeon-10-12	1	1180960
kn-jinju-hadae-GX15	1	1182857
kn-jinju-chungmugong-GX08	1	1181930
bs-sasang-jurye-10-12	1	1179771
kn-jinju-hadae-GX12	1	1181983
kn-jinju-chungmugong-GX09	1	1181931
bs-sasang-jurye-10-13	1	1179772
kn-geoje-gohyeon-10-10	1	1180958
kn-jinju-hadae-GX13	1	1181984
bs-sasang-jurye-10-18	1	1180232
kn-jinju-chungmugong-GX10	1	1181932
kn-jinju-chungmugong-GX12	1	1183293
kn-geoje-gohyeon-10-01	1	1180516
kn-geoje-gohyeon-10-04	1	1180519
kn-geoje-gohyeon-10-05	1	1180520
kn-geoje-gohyeon-10-03	1	1180518
kn-geoje-gohyeon-10-08	1	1180956
us-bukgu-sanha-GX10	1	1183297
kn-geoje-gohyeon-10-07	1	1180522
bs-geumjeong-cheongryong-10-07	1	1181174
bs-geumjeong-cheongryong-10-08	1	1181175
ktx-ulju-hwalcheon-GX05	1	1182001
ktx-ulju-hwalcheon-GX06	1	1182002
ktx-ulju-hwalcheon-GX03	1	1181999
ktx-ulju-hwalcheon-GX04	1	1182000
ktx-ulju-hwalcheon-GX09	1	1182005
ktx-ulju-hwalcheon-GX08	1	1182004
us-bukgu-sanha-GX01	1	1182110
ktx-ulju-hwalcheon-GX01	1	1181997
us-bukgu-sanha-GX04	1	1182935
ktx-ulju-hwalcheon-GX02	1	1181998
us-bukgu-sanha-GX03	1	1182934
us-bukgu-sanha-GX02	1	1182933
kn-happo-wolyeong-10-06	1	1180617
kn-happo-wolyeong-10-05	1	1180292
kn-happo-wolyeong-10-04	1	1180291
us-bukgu-sanha-GX07	1	1183130
kn-happo-wolyeong-10-03	1	1180290
us-bukgu-sanha-GX06	1	1183129
kn-happo-wolyeong-10-02	1	1180289
kn-happo-wolyeong-10-01	1	1180288
us-bukgu-yeompo-10-03	1	1181120
us-bukgu-yeompo-10-01	1	1180058
us-bukgu-yeompo-10-02	1	1180059
kn-geoje-gohyeon-10-15	1	1180963
kn-jinju-hadae-GX10	1	1181981
bs-sasang-jurye-10-19	1	1180233
kn-geoje-gohyeon-10-16	1	1180964
kn-jinju-hadae-GX11	1	1181982
bs-sasang-jurye-10-16	1	1180230
kn-geoje-gohyeon-10-13	1	1180961
bs-sasang-jurye-10-17	1	1180231
kn-geoje-gohyeon-10-14	1	1180962
kn-geoje-gohyeon-10-19	1	1181250
kn-geoje-gohyeon-10-17	1	1180965
kn-geoje-gohyeon-10-18	1	1181090
bs-sasang-jurye-10-10	1	1179769
bs-sasang-jurye-10-11	1	1179770
bs-jingu-beomcheon-10-07	1	1179831
bs-jingu-beomcheon-10-06	1	1179830
bs-jingu-beomcheon-10-05	1	1179829
bs-jingu-beomcheon-10-04	1	1179828
kn-tongyeong-yeonhwado-GX01	1	1181546
kn-jinhae-namyang-GX01	1	1182867
kn-jinju-hadae-GX09	1	1181883
kn-jinju-hadae-GX07	1	1181810
bs-jingu-beomcheon-10-03	1	1179827
kn-jinhae-namyang-GX04	1	1183145
kn-jinju-hadae-GX08	1	1181811
bs-jingu-beomcheon-10-02	1	1179826
kn-jinhae-namyang-GX05	1	1183146
kn-jinju-hadae-GX05	1	1181758
bs-jingu-beomcheon-10-01	1	1179825
kn-jinhae-namyang-GX02	1	1183143
kn-jinju-hadae-GX06	1	1181809
kn-jinhae-namyang-GX03	1	1183144
kn-jinhae-namyang-GX08	1	1183149
kn-jinhae-namyang-GX09	1	1183150
kn-jinhae-namyang-GX06	1	1183147
kn-jinhae-namyang-GX07	1	1183148
kn-sacheon-donggeum-10-01	1	1180333
kn-sacheon-donggeum-10-02	1	1181030
bs-dongrae-sumin-10-05	1	1180144
bs-dongrae-sumin-10-06	1	1180145
bs-dongrae-sumin-10-07	1	1181166
bs-dongrae-sumin-10-08	1	1181167
bs-dongrae-anrak-GX11	1	1183346
bs-dongrae-sumin-10-01	1	1180140
bs-dongrae-sumin-10-02	1	1180141
bs-dongrae-sumin-10-03	1	1180142
bs-dongrae-sumin-10-04	1	1180143
kn-jinju-chungmugong-GX02	1	1181924
kn-jinju-chungmugong-GX03	1	1181925
kn-jinju-chungmugong-GX01	1	1181923
kn-jinju-chungmugong-GX06	1	1181928
kn-jinju-chungmugong-GX07	1	1181929
