Node_Name,PKG_Ver,ENM,4T4RX
gangseoseongbuk-W165,CXP9024418/6_R73C96,BS1,
dongrae-oncheon-QA11,CXP9024418/6_R73C96,BS1,
changwon-seoseong-W100,CXP9024418/6_R73C96,BS1,
haeundaesongjeong-QC1,CXP9024418/6_R73C96,BS1,
gangseo-sinho-W150,CXP9024418/6_R73C96,BS1,
changwon-seoseong-TA12,CXP9024418/6_R73C96,BS1,
ulsancheongryang-W209,CXP9024418/6_R73C96,BS1,
ulsan-mugeo-W149,CXP9024418/6_R73C96,BS1,
ulsan-bangu-W119,CXP9024418/6_R73C96,BS1,
namgu-daeyeon-QD18,CXP9024418/6_R73C96,BS1,
haeundae-jwadong-QB0,CXP9024418/6_R73C96,BS1,
gijang-gijang-W245,CXP9024418/6_R73C96,BS1,
yangsan-nambu-W119,CXP9024418/6_R73C96,BS1,
gangseoseongbuk-W164,CXP9024418/6_R73C96,BS1,
jingu-buam-W203,CXP9024418/6_R73C96,BS1,
geumjeong-guseo-W190,CXP9024418/6_R73C96,BS1,
suyoung-gwangan-W94,CXP9024418/6_R71B34,BS1,
gangseogadeokdo-W160,CXP9024418/6_R73C96,BS1,
suyoung-anrak-W138,CXP9024418/6_R71B34,BS1,
haeundae-jwadong-W240,CXP9024418/6_R73C96,BS1,
jingu-buam-W204,CXP9024418/6_R73C96,BS1,
festival-centum-QB20,CXP9024418/6_R73C96,BS1,
sasang-deokcheon-SA4,CXP9024418/6_R73C96,BS1,
suyoung-anrak-W113,CXP9024418/6_R71B34,BS1,
saha-sinpyeong-W92,CXP9024418/6_R73C96,BS1,
gimhaegimhae-jangyu-QA3,CXP9024418/6_R73C96,BS1,
sasang-deokcheon-W35,CXP9024418/6_R73C96,BS1,
suyoung-gwangan-W82,CXP9024418/6_R71B34,BS1,
jingu-buam-W181,CXP9024418/6_R73C96,BS1,
geumjeong-guseo-W182,CXP9024418/6_R73C96,BS1,
festival-centum-QD20,CXP9024418/6_R73C96,BS1,
ulsan-buk-W226,CXP9024418/6_R73C96,BS1,
jingu-buam-SA21,CXP9024418/6_R73C96,BS1,
bukgu-deokcheon-QA6,CXP9024418/6_R73C96,BS1,
ulsancheongryang-W250,CXP9024418/6_R73C96,BS1,
gangseoseongbuk-W163,CXP9024418/6_R73C96,BS1,
jingu-buam-W168,CXP9024418/6_R73C96,BS1,
ulsan-bangu-W113,CXP9024418/6_R73C96,BS1,
changwon-b-TB4,CXP9024418/6_R73C96,BS1,
