No	SW	ID	HW
1	CXP9024418/6_R42E57	L18Q2_IP2_EC	eNB_NR(BB5216)
2	CXP9024418/6_R54B28	MTR18.43	eNB_NR(BB5216)
3	CXP9024418/6_R55B38	MTR18.45	eNB_NR(BB5216)
4	CXP9024418/6_R56B31	MTR18.47	eNB_NR(BB5216)
5	CXP9024418/6_R57B26	MTR18.49_EC	eNB_NR(BB5216)
6	CXP9024418/6_R59B24	MTR19.03_AD	eNB_NR(BB5216)
7	CXP9024418/6_R61B19	MTR19.07_AD	eNB_NR(BB5216)
8	CXP9024418/6_R62B27	MTR19.09_EC1	eNB_NR(BB5216)
9	CXP9024418/6_R62B29	MTR19.09_EC3	eNB_NR(BB5216)
10	CXP9024418/6_R63B27	MTR19.11	eNB_NR(BB5216)
11	CXP9024418/6_R64B41	MTR19.13_AD7	eNB_NR(BB5216)
12	CXP9024418/6_R64B43	MTR19.13_AD8	eNB_NR(BB5216)
13	CXP9024418/6_R65B46	MTR19.15_EC1	eNB_NR(BB5216)
14	CXP9024418/6_R66B22	MTR19.17_EC1	eNB_NR(BB5216)
15	CXP9024418/6_R67B48	MTR19.19	eNB_NR(BB5216)
16	CXP9024418/6_R69B38	MTR19.23	eNB_NR(BB5216)
17	CXP9024418/6_R69C21	MTR19.23_EC2	eNB_NR(BB5216)
18	CXP9024418/6_R69C32	MTR19.23_EC4	eNB_NR(BB5216)
19	CXP9024418/6_R69C45	19.Q2.IP2.AD2	eNB_NR(BB5216)
20	CXP9024418/6_R71B34	MTR19.27 	eNB_NR(BB5216)
21	CXP9024418/6_R71B53	MTR19.27_EC1	eNB_NR(BB5216)
22	CXP9024418/6_R72B74	MTR19.29_EC1	eNB_NR(BB5216)
23	CXP9024418/6_R73C80	MTR19.31_EC7	eNB_NR(BB5216)
24	CXP9024418/6_R73C96	19.Q3.0_AD2	eNB_NR(BB5216)
25	CXP9024418/6_R73E32	19.Q3.2_EC1	eNB_NR(BB5216)
26	CXP9024418/6_R77B39	MTR19.39_AD4	eNB_NR(BB5216)
27	CXP9024418/6_R60C49	3GPP용	eNB_NR(BB5216)
28	CXP9024418/6_R78B45	MTR19.41	eNB_NR(BB5216)
29	CXP9024418/6_R77B56	MTR19.39_EC1_AD3	eNB_NR(BB5216)
30	CXP9024418/6_R79B43	MTR19.43	eNB_NR(BB5216)
31	CXP2010045/5_R8B28	MTR18.43	gNB_NR(AIR6488)
32	CXP2010045/5_R10A135	MTR18.45_AD	gNB_NR(AIR6488)
33	CXP2010045/5_R10B31	MTR18.47_AD	gNB_NR(AIR6488)
34	CXP2010045/5_R11B36	MTR18.49_EC	gNB_NR(AIR6488)
35	CXP2010045/5_R12B34	MTR19.03_AD	gNB_NR(AIR6488)
36	CXP2010045/5_R15B28	MTR19.09_AD3	gNB_NR(AIR6488)
37	CXP2010045_5_R15B37	MTR19.09_EC1	gNB_NR(AIR6488)
38	CXP2010045_5_R16B24	MTR19.11_AD6	gNB_NR(AIR6488)
39	CXP2010045_5_R16B29	MTR19.11_AD8	gNB_NR(AIR6488)
40	CXP2010045/5_R17B29	MTR19.13_AD6	gNB_NR(AIR6488)
41	CXP2010045/5_R17B35	MTR19.13_AD9	gNB_NR(AIR6488)
42	CXP2010045/5_R18B33	MTR19.15_AD5	gNB_NR(AIR6488)
43	CXP2010045/5_R18B36	MTR19.15_EC15	gNB_NR(AIR6488)
44	CXP2010045/5_R19B31	MTR19.17_AD9	gNB_NR(AIR6488)
45	CXP2010045/5_R19B53	MTR19.17_EC1	gNB_NR(AIR6488)
46	CXP2010045/5_R20B53	MTR19.19_AD1	gNB_NR(AIR6488)
47	CXP2010045/5_R20B61	MTR19.19_EC1	gNB_NR(AIR6488)
48	CXP2010045/5_R21B47	MTR19.21	gNB_NR(AIR6488)
49	CXP2010045/5_R21B53	MTR19.21_AD2	gNB_NR(AIR6488)
50	CXP2010045/5_R21B55	MTR19.21_AD3	gNB_NR(AIR6488)
51	CXP2010045/5_R22B20	MTR19.23	gNB_NR(AIR6488)
52	CXP2010045/5_R22C31	MTR19.23_EC2	gNB_NR(AIR6488)
53	CXP2010045/5_R22C60	MTR19.23_EC4	gNB_NR(AIR6488)
54	CXP2010045/5_R22C74	MTR19.23_AD4	gNB_NR(AIR6488)
55	CXP2010045/5_R22C77	19.Q2_2_AD2	gNB_NR(AIR6488)
56	CXP2010045/5_R24B29	MTR19.27_1 	gNB_NR(AIR6488)
57	CXP2010045/5_R25B32	MTR19.29_EC1	gNB_NR(AIR6488)
58	CXP2010045/5_R25B33	MTR19.29_AD3	gNB_NR(AIR6488)
59	CXP2010045/5_R25B35	MTR19.29-3 AD1 	gNB_NR(AIR6488)
60	CXP2010045/5_R25B37	MTR19.29-3 AD2	gNB_NR(AIR6488)
61	CXP2010045/5_R26C75	19.Q3.0_AD3	gNB_NR(AIR6488)
62	CXP2010045/5_R26D47	19.Q3.1	gNB_NR(AIR6488)
63	CXP2010045/5_R29B29	MTR19.37_EC1	gNB_NR(AIR6488)
64	CXP2010045/5_R30B19	MTR19.39	gNB_NR(AIR6488)
65	CXP9024418/12_R36B20	MTR19.15	gNB_NR(AIR3239)
66	CXP9024418/12_R37B32	MTR19.15_AD1(3239)	gNB_NR(AIR3239)
67	CXP9024418/12_R37B40	MTR19.15_AD10(3239)	gNB_NR(AIR3239)
68	CXP9024418/12_R38B41	MTR19.17_EC1(3239)	gNB_NR(AIR3239)
69	CXP9024418/12_R39B47	MTR19.19_AD1(3239)	gNB_NR(AIR3239)
70	CXP9024418/12_R39B49	MTR19.19_EC1(3239)	gNB_NR(AIR3239)
71	CXP9024418/12_R40B50	MTR19.21_AD3(3239)	gNB_NR(AIR3239)
72	CXP9024418/12_R41B30	MTR19.23 (3239)	gNB_NR(AIR3239)
73	CXP9024418/12_R41C21	MTR19.23_EC2(3239)	gNB_NR(AIR3239)
